,S.N,candidate_name,party_name,EVM Votes,Postal Votes,secured_votes,% of Votes,state_name,constituency_name,constituency_number
4000,7,KRUSHNABAI DIPAK CHOUGALE,I,3045,18,3063,0.22,Maharashtra,Kolhapur,47
4001,8,KOGALE SANDEEP BHAIRAVNATH,D,2952,23,2975,0.21,Maharashtra,Kolhapur,47
4002,9,ADV. YASH SUHAS HEGDEPATIL,I,2457,2,2459,0.18,Maharashtra,Kolhapur,47
4003,10,NAGNATH PUNDALIK BENAKE,I,1215,12,1227,0.09,Maharashtra,Kolhapur,47
4004,11,RAJANDARA BALASO KOLI,I,1029,15,1044,0.07,Maharashtra,Kolhapur,47
4005,12,B. T. PATIL (EX SERVICEMAN),B,1011,96,1107,0.08,Maharashtra,Kolhapur,47
4006,13,SUBHASH VAIJU DESAI,I,847,2,849,0.06,Maharashtra,Kolhapur,47
4007,14,MANGESH JAYSINGH PATIL,I,647,6,653,0.05,Maharashtra,Kolhapur,47
4008,15,SHASHIBHUSHAN JEEVANRAO DESAI,A,636,15,651,0.05,Maharashtra,Kolhapur,47
4009,16,SANTOSH GANPATI BISURE,A,635,4,639,0.05,Maharashtra,Kolhapur,47
4010,17,DR. SUNIL NAMDEV PATIL,N,626,7,633,0.05,Maharashtra,Kolhapur,47
4011,18,KRUSHNA HANMANT DESAI,I,602,2,604,0.04,Maharashtra,Kolhapur,47
4012,19,IRFAN ABUTALIB CHAND,I,595,2,597,0.04,Maharashtra,Kolhapur,47
4013,20,MANE ARVIND BHIVA,B,558,12,570,0.04,Maharashtra,Kolhapur,47
4014,21,SANDEEP GUNDOPANT SANKPAL,I,541,3,544,0.04,Maharashtra,Kolhapur,47
4015,22,KUDARTULLA ADAM LATIF,I,465,2,467,0.03,Maharashtra,Kolhapur,47
4016,23,SALIM NURMUHAMAD BAGWAN,I,334,1,335,0.02,Maharashtra,Kolhapur,47
4017,24,NOTA,N,5932,51,5983,0.43,Maharashtra,Kolhapur,47
4018,1,DR. KALGE SHIVAJI BANDAPPA,I,607030,1991,609021,49.15,Maharashtra,Latur,41
4019,2,SUDHAKAR TUKARAM SHRANGARE,B,545240,1900,547140,44.16,Maharashtra,Latur,41
4020,3,NARSINGRAO UDGIRKAR,V,42104,121,42225,3.41,Maharashtra,Latur,41
4021,4,ATITHI KHANDERAO SURYVANSHI,S,5150,28,5178,0.42,Maharashtra,Latur,41
4022,5,ALTE VISHWANATH MAHADEV,B,5081,40,5121,0.41,Maharashtra,Latur,41
4023,6,KAMANT MACHHINDRA GUNWANTRAO,B,2249,20,2269,0.18,Maharashtra,Latur,41
4024,7,ABHANG GANGARAM SURYAWANSHI,I,2102,-,2102,0.17,Maharashtra,Latur,41
4025,8,DATTU SOPAN NARSINGE,I,2000,2,2002,0.16,Maharashtra,Latur,41
4026,9,DEEPAK KEDAR,I,1712,14,1726,0.14,Maharashtra,Latur,41
4027,10,UMESH AMBADAS KAMBLE,I,1683,8,1691,0.14,Maharashtra,Latur,41
4028,11,BANSODE RAGHUNATH WAGHOJI,I,1596,4,1600,0.13,Maharashtra,Latur,41
4029,12,BHARAT HARIBA NANAWARE,P,1442,7,1449,0.12,Maharashtra,Latur,41
4030,13,SHRIKANT BABURAO HOVAL,B,1380,2,1382,0.11,Maharashtra,Latur,41
4031,14,PRAVIN MADHAV JOHARE,S,1268,5,1273,0.1,Maharashtra,Latur,41
4032,15,PANCHSHIL VIKRAM KAMBLE,I,1232,9,1241,0.1,Maharashtra,Latur,41
4033,16,SHANKAR HARI TADAKHE,B,1126,2,1128,0.09,Maharashtra,Latur,41
4034,17,AMOL MALU HANMANTE,I,1094,5,1099,0.09,Maharashtra,Latur,41
4035,18,ADV. KASBEKAR SHRIDHAR LIMBAJI,R,987,7,994,0.08,Maharashtra,Latur,41
4036,19,BALAJI SHESHRAO BANSODE,I,953,1,954,0.08,Maharashtra,Latur,41
4037,20,BHIKAJI GANGARAM JADHAV,K,863,3,866,0.07,Maharashtra,Latur,41
4038,21,VIKAS KONDIBA SHINDE,M,793,8,801,0.06,Maharashtra,Latur,41
4039,22,LAKHAN RAJARAM KAMBLE,R,790,5,795,0.06,Maharashtra,Latur,41
4040,23,BALAJI TUKARAM GAIKWAD,B,679,4,683,0.06,Maharashtra,Latur,41
4041,24,SUDHAKAR TUKARAM SURYAWANSHI,I,617,3,620,0.05,Maharashtra,Latur,41
4042,25,PAPITA RAOSAHEB RANDIVE,I,576,5,581,0.05,Maharashtra,Latur,41
4043,26,ADV. PRADIP S. CHINCHOLIKAR,I,528,5,533,0.04,Maharashtra,Latur,41
4044,27,MUKESH GOVINDRAO GHODAKE,I,524,1,525,0.04,Maharashtra,Latur,41
4045,28,PANKAJ GOPALRAO WAKHARADAKAR,I,512,1,513,0.04,Maharashtra,Latur,41
4046,29,NOTA,N,3542,25,3567,0.29,Maharashtra,Latur,41
4047,1,MOHITE-PATIL DHAIRYASHEEL RAJSINH,N,618566,3647,622213,48.86,Maharashtra,Madha,43
4048,2,RANJEETSINGH HINDURAO NAIK NIMBALKAR,B,499171,2205,501376,39.37,Maharashtra,Madha,43
4049,3,ER. RAMCHANDRA MAYAPPA GHUTUKADE,N,58344,77,58421,4.59,Maharashtra,Madha,43
4050,4,BARASKAR RAMESH NAGNATH,V,20519,85,20604,1.62,Maharashtra,Madha,43
4051,5,JANKAR SWARUP DADA,B,7036,58,7094,0.56,Maharashtra,Madha,43
4052,6,HAKE LAXMAN SOPAN,I,5083,51,5134,0.4,Maharashtra,Madha,43
4053,7,SITARAM VITTHAL RANDIVE,I,4980,6,4986,0.39,Maharashtra,Madha,43
4054,8,DHANAJI SHRIPATI MASKE,I,4433,-,4433,0.35,Maharashtra,Madha,43
4055,9,BICHUKALE SANTOSH BALASAHEB,R,4039,7,4046,0.32,Maharashtra,Madha,43
4056,10,SAWANT RAHUL SHASHIKANT,I,3903,6,3909,0.31,Maharashtra,Madha,43
4057,11,AWARE SIDDHESHWAR BHARAT,A,3058,9,3067,0.24,Maharashtra,Madha,43
4058,12,HANUMANT NARAYAN MANE,I,2862,2,2864,0.22,Maharashtra,Madha,43
4059,13,NANDU SAMBHAJI MORE,I,2686,1,2687,0.21,Maharashtra,Madha,43
4060,14,NAVANATH BIRA MADANE,I,2434,1,2435,0.19,Maharashtra,Madha,43
4061,15,GIRISH PRABHAKAR SHETE,I,2380,3,2383,0.19,Maharashtra,Madha,43
4062,16,ADV. JORE SACHIN BHASKAR,I,2344,3,2347,0.18,Maharashtra,Madha,43
4063,17,NANASAHEB RAMHARI YADAV,I,2213,1,2214,0.17,Maharashtra,Madha,43
4064,18,KIRAN TANAJI SATHE,I,2167,8,2175,0.17,Maharashtra,Madha,43
4065,19,BHAUSAHEB SUKHADEV LIGADE,I,2034,18,2052,0.16,Maharashtra,Madha,43
4066,20,ER. BALIRAM SUKHADEV MORE,I,1952,1,1953,0.15,Maharashtra,Madha,43
4067,21,KHARAT SANDIP JANARADHAN,I,1746,9,1755,0.14,Maharashtra,Madha,43
4068,22,NARAYAN TATOBA KALEL,I,1557,3,1560,0.12,Maharashtra,Madha,43
4069,23,KASHINATH KISAN DEOKATE,I,1276,3,1279,0.1,Maharashtra,Madha,43
4070,24,GOPAL YESHVANT JADHAV,B,1273,16,1289,0.1,Maharashtra,Madha,43
4071,25,SATYAWAN VIJAY OMBASE,S,1254,6,1260,0.1,Maharashtra,Madha,43
4072,26,SITAPURE VINOD DILIP,I,1190,1,1191,0.09,Maharashtra,Madha,43
4073,27,ASHOK DNYANDEV WAGHMODE,I,984,5,989,0.08,Maharashtra,Madha,43
4074,28,ANIL BHAGAVAN SHEDAGE,I,977,5,982,0.08,Maharashtra,Madha,43
4075,29,AMOL MADHUKAR KARADE,I,900,3,903,0.07,Maharashtra,Madha,43
4076,30,RASHID ISMAIL SHAIKH,I,842,1,843,0.07,Maharashtra,Madha,43
4077,31,MORE ROHIT RAMKRUSHNA,I,669,2,671,0.05,Maharashtra,Madha,43
4078,32,SARADE GANESH NAVNATH,I,598,3,601,0.05,Maharashtra,Madha,43
4079,33,NOTA,N,3655,47,3702,0.29,Maharashtra,Madha,43
4080,1,SHRIRANG APPA CHANDU BARNE,S,692101,731,692832,48.81,Maharashtra,Maval,33
4081,2,SANJOG BHIKU WAGHERE PATIL,S,595542,675,596217,42,Maharashtra,Maval,33
4082,3,MADHAVITAI NARESH JOSHI,V,27745,23,27768,1.96,Maharashtra,Maval,33
4083,4,RAJARAM NARAYAN PATIL,B,13982,21,14003,0.99,Maharashtra,Maval,33
4084,5,ADV JYOTISHWAR VISHNU BHOSALE,B,10874,5,10879,0.77,Maharashtra,Maval,33
4085,6,UMAKANT RAMESHWAR MISHRA,I,5029,1,5030,0.35,Maharashtra,Maval,33
4086,7,SANJOG PATIL,I,4828,2,4830,0.34,Maharashtra,Maval,33
4087,8,KAMBLE MARUTI APARAI,I,4827,2,4829,0.34,Maharashtra,Maval,33
4088,9,AJAY HANUMANT LONDHE,I,4766,1,4767,0.34,Maharashtra,Maval,33
4089,10,SANTOSH UBALE,B,3824,1,3825,0.27,Maharashtra,Maval,33
4090,11,ADHALGE LAXMAN SADASHIV,I,3166,1,3167,0.22,Maharashtra,Maval,33
4091,12,SUHAS MANOHAR RANE,I,2923,-,2923,0.21,Maharashtra,Maval,33
4092,13,IQBAL IBRAHIM NAWDEKAR,I,2899,1,2900,0.2,Maharashtra,Maval,33
4093,14,DADARAO KISAN KAMBLE,I,2636,6,2642,0.19,Maharashtra,Maval,33
4094,15,RAHUL NIVRUTTI MADANE,I,2279,3,2282,0.16,Maharashtra,Maval,33
4095,16,TUSHAR DIGAMBAR LONDHE,B,2199,4,2203,0.16,Maharashtra,Maval,33
4096,17,RAHIM MAINUDDIN SAYYAD,A,2148,1,2149,0.15,Maharashtra,Maval,33
4097,18,INDRAJEET D GOND,I,2135,-,2135,0.15,Maharashtra,Maval,33
4098,19,SHIVAJI KISAN JADHAV,A,1672,4,1676,0.12,Maharashtra,Maval,33
4099,20,YASHWANT VITTHAL PAWAR,K,1634,4,1638,0.12,Maharashtra,Maval,33
4100,21,PRAFUL PANDIT BHOSALE,I,1602,1,1603,0.11,Maharashtra,Maval,33
4101,22,RAJENDRA MARUTI KATE,I,1417,2,1419,0.1,Maharashtra,Maval,33
4102,23,MAHESH THAKUR,D,1369,3,1372,0.1,Maharashtra,Maval,33
4103,24,PRASHANT RAMKRISHNA BHAGAT,B,1283,8,1291,0.09,Maharashtra,Maval,33
4104,25,PANKAJ PRABHAKAR OZARKAR,A,1259,2,1261,0.09,Maharashtra,Maval,33
4105,26,MANOJ BHASKAR GARBADE,I,1233,-,1233,0.09,Maharashtra,Maval,33
4106,27,HAJRAT IMAMSAB PATEL,I,1093,-,1093,0.08,Maharashtra,Maval,33
4107,28,GOVIND GANGARAM HERODE,I,966,-,966,0.07,Maharashtra,Maval,33
4108,29,MADHUKAR DAMODAR THORAT,I,905,-,905,0.06,Maharashtra,Maval,33
4109,30,RAFIQUE RASHID QURESHI,D,829,-,829,0.06,Maharashtra,Maval,33
4110,31,CHIMAJI DHONDIBA SHINDE,I,757,-,757,0.05,Maharashtra,Maval,33
4111,32,ADV RAJU PATIL,I,669,1,670,0.05,Maharashtra,Maval,33
4112,33,MUKESH MANOHAR AGARWAL,I,546,1,547,0.04,Maharashtra,Maval,33
4113,34,NOTA,N,16729,31,16760,1.18,Maharashtra,Maval,33
4114,1,PIYUSH GOYAL,B,678451,1695,680146,65.68,Maharashtra,Mumbai North,26
4115,2,BHUSHAN PATIL,I,321455,1083,322538,31.15,Maharashtra,Mumbai North,26
4116,3,ADV. SONAL DIWAKAR GONDANE,V,6007,45,6052,0.58,Maharashtra,Mumbai North,26
4117,4,RAIS DOCTOR,B,2907,16,2923,0.28,Maharashtra,Mumbai North,26
4118,5,PANDEY DHARMENDRA RAMMURAT,I,1481,-,1481,0.14,Maharashtra,Mumbai North,26
4119,6,DIPTI ASHOK WALAWALKAR,I,1461,11,1472,0.14,Maharashtra,Mumbai North,26
4120,7,COMRADE JAYRAM VISHWAKARMA,S,1194,1,1195,0.12,Maharashtra,Mumbai North,26
4121,8,MUNNALAL GAJRAJ PRAJAPATI,I,968,3,971,0.09,Maharashtra,Mumbai North,26
4122,9,LAXMAN YELLPPA KURADE,I,680,6,686,0.07,Maharashtra,Mumbai North,26
4123,10,ADVOCATE KAPIL K. SONI,I,630,3,633,0.06,Maharashtra,Mumbai North,26
4124,11,DEEPALI BHAWARSING SHEKHAWAT,M,621,4,625,0.06,Maharashtra,Mumbai North,26
4125,12,KAMLESH DAYABHAI VYAS,S,619,3,622,0.06,Maharashtra,Mumbai North,26
4126,13,BIPIN BACHUBHAI SHAH,H,505,3,508,0.05,Maharashtra,Mumbai North,26
4127,14,GURUDAS RAMDAS KHAIRNAR,I,484,2,486,0.05,Maharashtra,Mumbai North,26
4128,15,RAVI BABU GAVLI,S,447,3,450,0.04,Maharashtra,Mumbai North,26
4129,16,JAEENDRA VASANT SURVE,B,398,7,405,0.04,Maharashtra,Mumbai North,26
4130,17,ALIEK SUNDER MESHRAM,B,393,3,396,0.04,Maharashtra,Mumbai North,26
4131,18,SAYED ZULFIQAR ALAM,B,344,4,348,0.03,Maharashtra,Mumbai North,26
4132,19,SANJAY MAFATLAL MORAKHIA,I,210,-,210,0.02,Maharashtra,Mumbai North,26
4133,20,NOTA,N,13248,98,13346,1.29,Maharashtra,Mumbai North,26
4134,1,GAIKWAD VARSHA EKNATH,I,444098,1447,445545,48.93,Maharashtra,Mumbai North Central,29
4135,2,ADV UJWAL NIKAM,B,427387,1644,429031,47.12,Maharashtra,Mumbai North Central,29
4136,3,SANTOSH GANPAT AMBULGE,V,8233,55,8288,0.91,Maharashtra,Mumbai North Central,29
4137,4,AYYUB AMIN HUNGUND,B,3229,14,3243,0.36,Maharashtra,Mumbai North Central,29
4138,5,ANSON THOMAS,P,2207,4,2211,0.24,Maharashtra,Mumbai North Central,29
4139,6,RAMZAN ALI CHAUDHARY,A,1521,10,1531,0.17,Maharashtra,Mumbai North Central,29
4140,7,AJAZ MOHAMMAD SAFI KHAN,I,1041,-,1041,0.11,Maharashtra,Mumbai North Central,29
4141,8,HAYATULAH ABDULAH SHAIKH,A,818,3,821,0.09,Maharashtra,Mumbai North Central,29
4142,9,NAZMAKHATHUN MOHAMMED ZAFAR KHAN,I,730,2,732,0.08,Maharashtra,Mumbai North Central,29
4143,10,SHANTARAM S DIGHE,I,723,10,733,0.08,Maharashtra,Mumbai North Central,29
4144,11,NARENDRA MISHRA,I,706,2,708,0.08,Maharashtra,Mumbai North Central,29
4145,12,ADV ASIF ALI SIDDIQUIE,I,681,2,683,0.08,Maharashtra,Mumbai North Central,29
4146,13,HARSHADA BABURAV JADHAV,M,673,17,690,0.08,Maharashtra,Mumbai North Central,29
4147,14,RAMA ARUN SABLE,I,626,10,636,0.07,Maharashtra,Mumbai North Central,29
4148,15,SANDEEP BHAU RAMCHANDRA JADHAV,I,619,4,623,0.07,Maharashtra,Mumbai North Central,29
4149,16,DR GAFFAR IBRAHIM SAYED,I,584,2,586,0.06,Maharashtra,Mumbai North Central,29
4150,17,ADV UTTAMKUMAR NAKUL SAJANI SAHU,I,554,4,558,0.06,Maharashtra,Mumbai North Central,29
4151,18,KHAN ABBAS AHMED,B,427,1,428,0.05,Maharashtra,Mumbai North Central,29
4152,19,MUSHTAQUE HAIDER SHAIKH,I,405,-,405,0.04,Maharashtra,Mumbai North Central,29
4153,20,DR ADV YASHWANT RAMBHAU KASBE,B,385,6,391,0.04,Maharashtra,Mumbai North Central,29
4154,21,KURBAN SHAHADAT HUSAIN,R,366,1,367,0.04,Maharashtra,Mumbai North Central,29
4155,22,ABDUL TAHIR ADVOCATE BABLU RAJNIKANT,I,355,-,355,0.04,Maharashtra,Mumbai North Central,29
4156,23,SHAUKAT ABDUL RAFIQ KHAN,I,341,4,345,0.04,Maharashtra,Mumbai North Central,29
4157,24,RAJESH MOHAN LOKHANDE,I,282,7,289,0.03,Maharashtra,Mumbai North Central,29
4158,25,YUNUSALI RASHID MULLA,I,220,-,220,0.02,Maharashtra,Mumbai North Central,29
4159,26,ADV FEROZ SHAIKH,I,180,-,180,0.02,Maharashtra,Mumbai North Central,29
4160,27,MUZAFAR ALI SHAIKH,I,173,-,173,0.02,Maharashtra,Mumbai North Central,29
4161,28,NOTA,N,9665,84,9749,1.07,Maharashtra,Mumbai North Central,29
4162,1,SANJAY DINA PATIL,S,448604,2333,450937,48.67,Maharashtra,Mumbai North East,28
4163,2,MIHIR CHANDRAKANT KOTECHA,B,419589,1487,421076,45.45,Maharashtra,Mumbai North East,28
4164,3,DAULAT KADAR KHAN,V,14571,86,14657,1.58,Maharashtra,Mumbai North East,28
4165,4,NANDESH VITHAL UMAP,B,8217,101,8318,0.9,Maharashtra,Mumbai North East,28
4166,5,DR. SUSHMA MAURYA,I,2886,5,2891,0.31,Maharashtra,Mumbai North East,28
4167,6,SANJAY B. PATIL,N,2757,7,2764,0.3,Maharashtra,Mumbai North East,28
4168,7,SANJU MARUTI PAWAR,M,2555,27,2582,0.28,Maharashtra,Mumbai North East,28
4169,8,PROF. DR. PRASHANT GANGAWANE,D,2338,35,2373,0.26,Maharashtra,Mumbai North East,28
4170,9,PREM RAMAPATI GUPTA,I,1598,3,1601,0.17,Maharashtra,Mumbai North East,28
4171,10,MOHAMMED AHMED SHAIKH,I,1289,5,1294,0.14,Maharashtra,Mumbai North East,28
4172,11,MOHAMMAD ARMAN MOHAMMAD WASI KHAN,R,1085,5,1090,0.12,Maharashtra,Mumbai North East,28
4173,12,VIDYA NAIK,I,974,5,979,0.11,Maharashtra,Mumbai North East,28
4174,13,BHOPINDER SINGH SAINI,V,941,5,946,0.1,Maharashtra,Mumbai North East,28
4175,14,BANSODE DILIP,I,831,7,838,0.09,Maharashtra,Mumbai North East,28
4176,15,BHAWANI H. CHOUDHARY,S,742,4,746,0.08,Maharashtra,Mumbai North East,28
4177,16,DATTATRAY ARJUN UTEKAR,B,707,4,711,0.08,Maharashtra,Mumbai North East,28
4178,17,COMRADE SURENDRA SIBAG,A,675,3,678,0.07,Maharashtra,Mumbai North East,28
4179,18,SHAHAJI NANAI THORAT,I,648,2,650,0.07,Maharashtra,Mumbai North East,28
4180,19,SANJAY SAOJI DESHPANDE,R,641,-,641,0.07,Maharashtra,Mumbai North East,28
4181,20,SANJAY PATIL,I,520,4,524,0.06,Maharashtra,Mumbai North East,28
4182,21,NOTA,N,10088,85,10173,1.1,Maharashtra,Mumbai North East,28
4183,1,AMOL GAJANAN KIRTIKAR,S,451095,1501,452596,47.4,Maharashtra,Mumbai North West,27
4184,2,RAVINDRA DATTARAM WAIKAR,S,451094,1550,452644,47.4,Maharashtra,Mumbai North West,27
4185,3,PARMESHWAR ASHOK RANSHUR,V,10001,51,10052,1.05,Maharashtra,Mumbai North West,27
4186,4,RAJESH RAMKISAN MALLAH,B,4790,22,4812,0.5,Maharashtra,Mumbai North West,27
4187,5,SAMEER MORE,I,3171,2,3173,0.33,Maharashtra,Mumbai North West,27
4188,6,SUNIL BHIMA CHAVAN,I,1999,3,2002,0.21,Maharashtra,Mumbai North West,27
4189,7,BALA VENKATESH VINAYAK NADAR,A,1756,7,1763,0.18,Maharashtra,Mumbai North West,27
4190,8,ARORA SURINDER MOHAN,B,1667,8,1675,0.18,Maharashtra,Mumbai North West,27
4191,9,ROHAN SATONE,I,1476,3,1479,0.15,Maharashtra,Mumbai North West,27
4192,10,ADV. SANJEEVKUMAR APPARAV KALKORI,I,1184,13,1197,0.13,Maharashtra,Mumbai North West,27
4193,11,ADV. LATA PANDURANG SHINDE,I,1152,2,1154,0.12,Maharashtra,Mumbai North West,27
4194,12,MANOJ SHRAVAN NAYAK,R,1132,17,1149,0.12,Maharashtra,Mumbai North West,27
4195,13,HRUDA DHANANJAY SHINDE,I,1066,12,1078,0.11,Maharashtra,Mumbai North West,27
4196,14,BHARAT KHIMJI SHAH,H,932,5,937,0.1,Maharashtra,Mumbai North West,27
4197,15,SUSHMA DAYANAND MEHTA,I,875,7,882,0.09,Maharashtra,Mumbai North West,27
4198,16,ADVOCATE KAPIL KANTILAL SONI,I,776,4,780,0.08,Maharashtra,Mumbai North West,27
4199,17,SARIKA DABRAL,I,760,8,768,0.08,Maharashtra,Mumbai North West,27
4200,18,GAJANAN TUKARAM SONKAMBLE,I,496,5,501,0.05,Maharashtra,Mumbai North West,27
4201,19,ADV MITESH VARSHNEY,B,492,5,497,0.05,Maharashtra,Mumbai North West,27
4202,20,HARISHANKAR YADAV,S,398,7,405,0.04,Maharashtra,Mumbai North West,27
4203,21,SANTOSH MANIK RAYBAN,I,234,-,234,0.02,Maharashtra,Mumbai North West,27
4204,22,NOTA,N,15036,125,15161,1.59,Maharashtra,Mumbai North West,27
4205,1,ARVIND GANPAT SAWANT,S,393735,1920,395655,51.18,Maharashtra,Mumbai South,31
4206,2,YAMINI YASHWANT JADHAV,S,341291,1691,342982,44.36,Maharashtra,Mumbai South,31
4207,3,AFZAL S. DAWOODANI,V,5575,37,5612,0.73,Maharashtra,Mumbai South,31
4208,4,MOHAMMED SHUAIB BASHIR KHATEEB,B,4440,38,4478,0.58,Maharashtra,Mumbai South,31
4209,5,ARVIND NARAYAN SAWANT,I,3065,25,3090,0.4,Maharashtra,Mumbai South,31
4210,6,MOHD. NAEEM SHAIKH,A,1709,6,1715,0.22,Maharashtra,Mumbai South,31
4211,7,SABEEHA KHAN,I,1678,16,1694,0.22,Maharashtra,Mumbai South,31
4212,8,GOHIL MANISHA SHIVRAM,I,1032,13,1045,0.14,Maharashtra,Mumbai South,31
4213,9,SHANKAR SONAWANE,I,854,8,862,0.11,Maharashtra,Mumbai South,31
4214,10,RAHUL PHANASWADIKAR,L,784,3,787,0.1,Maharashtra,Mumbai South,31
4215,11,SUBHASH RAMESH CHIPLUNKAR,R,563,4,567,0.07,Maharashtra,Mumbai South,31
4216,12,PRASHANT PRAKASH GHADGE,I,487,3,490,0.06,Maharashtra,Mumbai South,31
4217,13,MOHAMMED MAHTAB SHAIKH,I,455,3,458,0.06,Maharashtra,Mumbai South,31
4218,14,MATEEN AHMED RANGREJ,I,265,2,267,0.03,Maharashtra,Mumbai South,31
4219,15,NOTA,N,13290,121,13411,1.73,Maharashtra,Mumbai South,31
4220,1,ANIL YESHWANT DESAI,S,393342,1796,395138,49.73,Maharashtra,Mumbai South Central,30
4221,2,RAHUL RAMESH SHEWALE,S,339828,1926,341754,43.01,Maharashtra,Mumbai South Central,30
4222,3,ABUL HASAN ALI HASAN KHAN,V,23675,192,23867,3,Maharashtra,Mumbai South Central,30
4223,4,VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,B,6462,70,6532,0.82,Maharashtra,Mumbai South Central,30
4224,5,AKASH LAXMAN KHARATMAL,I,1891,8,1899,0.24,Maharashtra,Mumbai South Central,30
4225,6,ASHWINI KUMAR PATHAK,I,1607,5,1612,0.2,Maharashtra,Mumbai South Central,30
4226,7,ADV. SANTOSH PUNJIRAM SANJKAR,I,1565,13,1578,0.2,Maharashtra,Mumbai South Central,30
4227,8,KARAM HUSSAIN KITABULLAH KHAN,P,1533,4,1537,0.19,Maharashtra,Mumbai South Central,30
4228,9,ADV. MAHENDRA TULSHIRAM BHINGARDIVE,R,1414,30,1444,0.18,Maharashtra,Mumbai South Central,30
4229,10,SAEED CHOUDHARY,S,1186,5,1191,0.15,Maharashtra,Mumbai South Central,30
4230,11,ISHWAR VILAS TATHAWADE,R,968,3,971,0.12,Maharashtra,Mumbai South Central,30
4231,12,DEEPAK M. CHAUGULE,B,968,7,975,0.12,Maharashtra,Mumbai South Central,30
4232,13,JAHID ALI NASIR AHMED SHAIKH,A,957,2,959,0.12,Maharashtra,Mumbai South Central,30
4233,14,DR. ARJUN MAHADEO MURUDKAR,B,913,17,930,0.12,Maharashtra,Mumbai South Central,30
4234,15,VIVEK YESHWANT PATIL,I,713,1,714,0.09,Maharashtra,Mumbai South Central,30
4235,16,NOTA,N,13316,107,13423,1.69,Maharashtra,Mumbai South Central,30
4236,1,NITIN JAIRAM GADKARI,B,652809,2218,655027,54.08,Maharashtra,Nagpur,10
4237,2,VIKAS THAKRE,I,515941,1483,517424,42.72,Maharashtra,Nagpur,10
4238,3,YOGIRAJ ALIAS YOGESH PATIRAM LANJEWAR,B,19164,78,19242,1.59,Maharashtra,Nagpur,10
4239,4,KIVINSUKA VIRENDRA SURYAVANSHI,D,2055,4,2059,0.17,Maharashtra,Nagpur,10
4240,5,ADARSH RAVISHANKAR THAKUR,I,1749,1,1750,0.14,Maharashtra,Nagpur,10
4241,6,ADV ULHAS SHALIKRAM DUPARE,I,1346,2,1348,0.11,Maharashtra,Nagpur,10
4242,7,FAHIM SHAMIM KHAN,M,1072,1,1073,0.09,Maharashtra,Nagpur,10
4243,8,SURAJ BALRAM MISHRA,K,814,3,817,0.07,Maharashtra,Nagpur,10
4244,9,TEKRAJ BELKHODE,I,803,5,808,0.07,Maharashtra,Nagpur,10
4245,10,GARUDADRI ANAND KUMAR,A,719,1,720,0.06,Maharashtra,Nagpur,10
4246,11,DHANU WALTHARE,I,690,2,692,0.06,Maharashtra,Nagpur,10
4247,12,VIJAY MANKAR,A,606,4,610,0.05,Maharashtra,Nagpur,10
4248,13,ADV. SANTOSH RAMKRISHNA LANJEWAR,A,565,2,567,0.05,Maharashtra,Nagpur,10
4249,14,VISHESH VASANTA FUTANE,B,559,3,562,0.05,Maharashtra,Nagpur,10
4250,15,GUNWANT HARICHANDRA SOMKUWAR,B,465,6,471,0.04,Maharashtra,Nagpur,10
4251,16,SHRIDHAR NARAYAN SALVE,B,447,4,451,0.04,Maharashtra,Nagpur,10
4252,17,SUNIL WANKHEDE,R,320,2,322,0.03,Maharashtra,Nagpur,10
4253,18,DIPAK LAXMANRAO MASKE,B,267,3,270,0.02,Maharashtra,Nagpur,10
4254,19,NARAYAN TUKARAM CHOUDHARI,S,251,-,251,0.02,Maharashtra,Nagpur,10
4255,20,SANTOSH TULSHIRAM CHAVHAN,I,242,-,242,0.02,Maharashtra,Nagpur,10
4256,21,SUSHIL PATIL,I,236,1,237,0.02,Maharashtra,Nagpur,10
4257,22,SACHIN RAMKRUSHNARAO WAGHADE,I,202,-,202,0.02,Maharashtra,Nagpur,10
4258,23,PRAFUL MANIKCHAND BHANGE,I,201,-,201,0.02,Maharashtra,Nagpur,10
4259,24,VINAYAK BHAURAO AWCHAT,I,190,-,190,0.02,Maharashtra,Nagpur,10
4260,25,BABITA RAJU AWASTHI,I,179,3,182,0.02,Maharashtra,Nagpur,10
4261,26,SAHIL BALCHAND TURKAR,I,129,-,129,0.01,Maharashtra,Nagpur,10
4262,27,NOTA,N,5434,40,5474,0.45,Maharashtra,Nagpur,10
4263,1,CHAVAN VASANTRAO BALWANTRAO,I,526865,2029,528894,46.88,Maharashtra,Nanded,16
4264,2,CHIKHALIKAR PRATAPRAO GOVINDRAO,B,467452,2000,469452,41.61,Maharashtra,Nanded,16
4265,3,AVINASH VISHWANATH BHOSIKAR,V,92090,422,92512,8.2,Maharashtra,Nanded,16
4266,4,PANDURANG RAMA ADGULWAR,B,6879,22,6901,0.61,Maharashtra,Nanded,16
4267,5,NIKHIL LAXMANRAO GARJE,I,4320,5,4325,0.38,Maharashtra,Nanded,16
4268,6,NAGESH SAMBHAJI GAIKWAD,I,3316,2,3318,0.29,Maharashtra,Nanded,16
4269,7,BHASKAR CHAMPATRAO DOIFODE,I,2078,2,2080,0.18,Maharashtra,Nanded,16
4270,8,SUSHILA NILKANTHRAO PAWAR,S,1873,17,1890,0.17,Maharashtra,Nanded,16
4271,9,ABDUL RAIS AHEMAD,D,1508,2,1510,0.13,Maharashtra,Nanded,16
