,S.N,candidate_name,party_name,EVM Votes,Postal Votes,secured_votes,% of Votes,state_name,constituency_name,constituency_number
7357,6,MILAN PADA MURASING,I,6625,27,6652,0.55,Tripura,Tripura West,1
7358,7,BALARAM DEBBARMA,I,4356,123,4479,0.37,Tripura,Tripura West,1
7359,8,BRAJALAL DEBNATH,I,3656,27,3683,0.3,Tripura,Tripura West,1
7360,9,ARNAB ROY,R,3420,29,3449,0.29,Tripura,Tripura West,1
7361,10,NOTA,N,14444,168,14612,1.21,Tripura,Tripura West,1
7362,1,PROF S P SINGH BAGHEL,B,597061,2336,599397,53.34,Uttar Pradesh,Agra,18
7363,2,SURESH CHAND KARDAM,S,326644,1459,328103,29.2,Uttar Pradesh,Agra,18
7364,3,POOJA AMROHI,B,175810,664,176474,15.7,Uttar Pradesh,Agra,18
7365,4,ARAM SINGH,P,4130,13,4143,0.37,Uttar Pradesh,Agra,18
7366,5,KULDEEP KUMAR,B,1997,5,2002,0.18,Uttar Pradesh,Agra,18
7367,6,MAHENDRA SINGH,I,1779,6,1785,0.16,Uttar Pradesh,Agra,18
7368,7,POOJA,I,1363,7,1370,0.12,Uttar Pradesh,Agra,18
7369,8,SARVESH KUMAR,B,1123,10,1133,0.1,Uttar Pradesh,Agra,18
7370,9,AMBEDAKARI HASANURAM AMBEDAKARI,I,927,6,933,0.08,Uttar Pradesh,Agra,18
7371,10,JITENDRA GAUTAM,L,780,2,782,0.07,Uttar Pradesh,Agra,18
7372,11,CHANDRA PAL,A,640,3,643,0.06,Uttar Pradesh,Agra,18
7373,12,NOTA,N,6929,85,7014,0.62,Uttar Pradesh,Agra,18
7374,1,DEVENDRA SINGH ALIAS BHOLE SINGH,B,514256,3167,517423,47.6,Uttar Pradesh,Akbarpur,44
7375,2,RAJARAM PAL,S,469766,3312,473078,43.52,Uttar Pradesh,Akbarpur,44
7376,3,RAJESH KUMAR DWIVEDI,B,72679,461,73140,6.73,Uttar Pradesh,Akbarpur,44
7377,4,RAJARAM,I,4629,13,4642,0.43,Uttar Pradesh,Akbarpur,44
7378,5,ASHOK PASWAN ADVOCATE,S,3160,13,3173,0.29,Uttar Pradesh,Akbarpur,44
7379,6,CHANDRESH SINGH,B,2641,13,2654,0.24,Uttar Pradesh,Akbarpur,44
7380,7,YOGESH JAISWAL,I,2529,14,2543,0.23,Uttar Pradesh,Akbarpur,44
7381,8,VIPIN KUMAR,R,1489,5,1494,0.14,Uttar Pradesh,Akbarpur,44
7382,9,RAMGOPAL,R,1146,11,1157,0.11,Uttar Pradesh,Akbarpur,44
7383,10,NOTA,N,7523,126,7649,0.7,Uttar Pradesh,Akbarpur,44
7384,1,SATISH KUMAR GAUTAM,B,500453,1381,501834,44.28,Uttar Pradesh,Aligarh,15
7385,2,BIJENDRA SINGH,S,485588,599,486187,42.9,Uttar Pradesh,Aligarh,15
7386,3,HITENDRA KUMAR ALIAS BUNTY UPADHYAY,B,123770,159,123929,10.93,Uttar Pradesh,Aligarh,15
7387,4,GYANI RAM,I,3795,4,3799,0.34,Uttar Pradesh,Aligarh,15
7388,5,SATISH KUMAR,I,3553,8,3561,0.31,Uttar Pradesh,Aligarh,15
7389,6,SATISH KUMAR,S,1647,1,1648,0.15,Uttar Pradesh,Aligarh,15
7390,7,MANOJ KUMAR ALIAS MANOJ LODHI,S,1434,6,1440,0.13,Uttar Pradesh,Aligarh,15
7391,8,KESHAV DEV ALIAS PANDIT KESHAV DEV GAUTAM,I,1308,11,1319,0.12,Uttar Pradesh,Aligarh,15
7392,9,SURENDRA,M,1175,3,1178,0.1,Uttar Pradesh,Aligarh,15
7393,10,RAJESH KUMAR,I,1053,3,1056,0.09,Uttar Pradesh,Aligarh,15
7394,11,DILEEP SHARMA AD.,I,952,3,955,0.08,Uttar Pradesh,Aligarh,15
7395,12,MAHESH CHANDRA SHARMA,I,733,3,736,0.06,Uttar Pradesh,Aligarh,15
7396,13,RAJ KUMAR,R,407,5,412,0.04,Uttar Pradesh,Aligarh,15
7397,14,MANOJ KUMAR SHARMA ADVOCATE,L,371,7,378,0.03,Uttar Pradesh,Aligarh,15
7398,15,NOTA,N,4916,18,4934,0.44,Uttar Pradesh,Aligarh,15
7399,1,UJJWAL RAMAN SINGH,I,461100,1045,462145,48.8,Uttar Pradesh,Allahabad,52
7400,2,NEERAJ TRIPATHI,B,402659,691,403350,42.59,Uttar Pradesh,Allahabad,52
7401,3,RAMESH KUMAR PATEL,B,49045,99,49144,5.19,Uttar Pradesh,Allahabad,52
7402,4,GOPAL SWROOP JOSHI,I,4248,-,4248,0.45,Uttar Pradesh,Allahabad,52
7403,5,AJEET KUMAR PATEL,P,2641,1,2642,0.28,Uttar Pradesh,Allahabad,52
7404,6,MOOLNIWASI HEMRAJ SINGH,P,2350,5,2355,0.25,Uttar Pradesh,Allahabad,52
7405,7,GEETA RANI SHARMA,I,2197,-,2197,0.23,Uttar Pradesh,Allahabad,52
7406,8,HANSHRAJ KOL,A,2137,4,2141,0.23,Uttar Pradesh,Allahabad,52
7407,9,RAJENDRA PRASAD PRAJAPATI,B,1844,3,1847,0.2,Uttar Pradesh,Allahabad,52
7408,10,AVANEESH KUMAR,I,1834,1,1835,0.19,Uttar Pradesh,Allahabad,52
7409,11,ANUJ SWAROOP SHUKLA,I,1615,1,1616,0.17,Uttar Pradesh,Allahabad,52
7410,12,SHIV PRASAD VISHWAKARMA,S,1326,-,1326,0.14,Uttar Pradesh,Allahabad,52
7411,13,SARVAJEET SINGH,K,1177,-,1177,0.12,Uttar Pradesh,Allahabad,52
7412,14,RAJDHAR SINGH PATEL,R,1024,1,1025,0.11,Uttar Pradesh,Allahabad,52
7413,15,NOTA,N,9949,3,9952,1.05,Uttar Pradesh,Allahabad,52
7414,1,LALJI VERMA,S,543721,1238,544959,46.3,Uttar Pradesh,Ambedkar Nagar,55
7415,2,RITESH PANDEY,B,406851,861,407712,34.64,Uttar Pradesh,Ambedkar Nagar,55
7416,3,QAMAR HAYAT,B,199252,247,199499,16.95,Uttar Pradesh,Ambedkar Nagar,55
7417,4,NEELAM SINGH,M,4321,10,4331,0.37,Uttar Pradesh,Ambedkar Nagar,55
7418,5,SHABANA KHATOON,P,3983,7,3990,0.34,Uttar Pradesh,Ambedkar Nagar,55
7419,6,JAVED AHMAD SIDDIQUI,I,3857,3,3860,0.33,Uttar Pradesh,Ambedkar Nagar,55
7420,7,RAM NARESH PRAJAPATI,B,3410,3,3413,0.29,Uttar Pradesh,Ambedkar Nagar,55
7421,8,VIVEK KUMAR,B,1848,2,1850,0.16,Uttar Pradesh,Ambedkar Nagar,55
